Server,00:01,00:02,00:03,00:04,00:05,00:06,00:07,00:08,00:09,00:10,00:11,00:12,00:13,00:14,00:15,00:16,00:17,00:18,00:19,00:20,00:21,00:22,00:23,00:24,00:25,00:26,00:27,00:28,00:29
OpenSwoole,1141.15,1143.32,1143.16,1140.51,1146.45,1144.84,1141.37,1147.76,1149.60,1152.40,1149.47,1151.13,1138.78,1142.78,1152.58,1141.94,1155.80,1150.19,1150.71,1153.63,1152.45,1158.60,1151.18,1151.25,1164.34,1152.33,1155.84,1158.63,1155.14
Swoole,1154.55,1150.74,1141.03,1152.60,1147.42,1148.79,1155.99,1158.19,1155.88,1157.51,1163.09,1154.92,1159.45,1152.77,1161.01,1158.93,1156.42,1152.73,1157.41,1156.98,1160.67,1159.47,1157.50,1157.91,1158.75,1157.74,1156.64,1163.50,1161.95
RoadRunner,1166.65,1162.14,1150.56,1152.05,1174.28,1181.46,1164.81,1167.64,1164.20,1160.25,1183.82,1173.72,1166.85,1162.28,1166.21,1155.46,1192.25,1178.06,1168.06,1157.33,1173.00,1180.81,1190.95,1175.49,1171.55,1171.01,1173.93,1192.19,1186.06
FrankenPHP,1136.95,1131.95,1135.15,1139.01,1139.31,1152.02,1135.43,1144.94,1152.06,1145.44,1144.26,1145.53,1155.68,1143.79,1145.00,1155.87,1143.65,1162.80,1157.75,1149.90,1151.74,1152.08,1150.94,1153.51,1166.87,1155.13,1160.37,1157.64,1165.92
