Server,00:01,00:02,00:03,00:04,00:05,00:06,00:07,00:08,00:09,00:10,00:11,00:12,00:13,00:14,00:15,00:16,00:17,00:18,00:19,00:20,00:21,00:22,00:23,00:24,00:25,00:26,00:27,00:28,00:29
OpenSwoole,1125.90,1122.96,1124.13,1129.86,1124.68,1134.30,1131.63,1131.43,1132.71,1132.93,1133.11,1138.23,1132.76,1132.90,1143.05,1133.43,1142.46,1136.13,1137.00,1130.40,1137.61,1136.04,1138.79,1137.57,1136.19,1134.95,1135.85,1137.70,1137.24
Swoole,1150.60,1141.65,1136.66,1144.18,1146.52,1142.11,1147.34,1145.82,1142.74,1142.19,1151.13,1145.10,1153.38,1149.50,1150.68,1152.92,1146.99,1149.90,1150.19,1148.99,1150.26,1152.25,1150.84,1145.52,1154.06,1146.72,1146.80,1154.65,1151.81
RoadRunner,1182.08,1183.08,1206.86,1184.80,1182.15,1182.86,1180.05,1209.87,1183.00,1186.53,1199.62,1195.29,1198.11,1202.88,1191.81,1215.81,1195.11,1195.60,1205.87,1187.13,1210.60,1188.41,1205.52,1213.55,1195.25,1213.59,1201.09,1203.07,1216.54
FrankenPHP,1139.18,1137.09,1139.84,1136.99,1136.30,1131.34,1139.26,1155.38,1143.50,1140.81,1147.66,1142.75,1149.44,1145.62,1146.37,1146.90,1146.81,1150.84,1150.97,1153.15,1152.64,1158.99,1152.24,1154.88,1154.87,1152.01,1154.65,1164.40,1160.52
