Server,50%,75%,90%,99%,99.99%
OpenSwoole,1.456,2.298,15.44,39.746,60.371
Swoole,1.468,2.326,15.654,40.215,60.714
RoadRunner,3.192,3.696,7.325,34.697,64.827
FrankenPHP,2.839,3.492,7.916,406.957,617.029
