Server,00:01,00:02,00:03,00:04,00:05,00:06,00:07,00:08,00:09,00:10,00:11,00:12,00:13,00:14,00:15,00:16,00:17,00:18,00:19,00:20,00:21,00:22,00:23,00:24,00:25,00:26,00:27,00:28,00:29,00:30
OpenSwoole,110.1,109.5,98.89,89.27,101.4,101.7,101.1,102,94.88,100.5,96.57,99.19,103.6,95.69,97.8,94.33,93.64,99.66,100.8,102,97.99,102.8,98.75,103.1,100.6,97.05,95.7,97.11,98.34,93.33
Swoole,94.78,97.06,101.1,103.9,103.3,96.04,104.6,92.81,93.96,98.46,101.7,99.47,105.9,99.04,103,108.1,96.17,104.6,93.51,98.99,100.8,97.89,99.31,93.82,97.47,96.07,95.67,101.7,103.2,99.86
RoadRunner,205.9,242.8,239.6,231.1,219.6,218.9,250.7,235.7,220.5,255,246.9,234.3,222.7,215.6,246.3,249.7,234.2,216.3,208.4,247.7,253.4,231.4,213.1,228.3,255.7,244.8,234.5,214.6,245.3,233.3
FrankenPHP,59.4,59.94,59.43,60.7,59.45,60.12,60.18,59.12,59.45,59.85,59.05,57.95,59.71,59.48,59.22,59.68,59.89,59.47,58.77,59.3,60.38,59.21,59.41,60.87,59.81,59.23,58.8,60.04,60.59,57.84
