Server,00:01,00:02,00:03,00:04,00:05,00:06,00:07,00:08,00:09,00:10,00:11,00:12,00:13,00:14,00:15,00:16,00:17,00:18,00:19,00:20,00:21,00:22,00:23,00:24,00:25,00:26,00:27,00:28,00:29,00:30
OpenSwoole,84.65,95.06,96.27,86.26,88.52,84.11,99.07,98.48,90.65,82.3,96.54,91.53,96.16,87.12,88.36,91.72,99.16,97.39,94.89,90.72,98.61,95.33,88.23,78.75,92.22,97.96,95.91,81.84,105.1,91.11
Swoole,93.77,93.12,102.4,96.36,98.54,103.4,92.55,92.57,91.77,98.55,95.29,91.76,97.44,101.1,96.04,86.19,95.26,106.2,92.27,96.59,90.13,94.66,102.4,102.6,96.23,90.87,90.97,100.1,95.66,92.31
RoadRunner,210.5,222.4,237.4,250.4,150.8,221.3,227.4,251,257.1,232.2,189.6,220.7,229.4,242.7,254.5,223.4,180.1,225.1,235.8,250.4,255,178,217.2,229.2,249.8,257.7,213.7,202,221,224.9
FrankenPHP,59.57,57.32,59.08,57.63,57.92,57.36,57.03,57.21,58.12,58.87,56.92,57.47,57.93,56.79,58.35,58.04,58.39,57.73,57.66,57.29,59.25,59.03,59.32,57.73,58.28,58.31,59.41,60.02,56.98,55.07
