Server,50%,75%,90%,99%,99.99%
OpenSwoole,4.431,5.011,5.803,33.027,49.879
Swoole,4.44,5.022,5.81,33.217,46.091
RoadRunner,6.208,6.95,8.588,24.698,63.401
FrankenPHP,5.486,5.955,6.445,7.627,48.61
