Server,00:01,00:02,00:03,00:04,00:05,00:06,00:07,00:08,00:09,00:10,00:11,00:12,00:13,00:14,00:15,00:16,00:17,00:18,00:19,00:20,00:21,00:22,00:23,00:24,00:25,00:26,00:27,00:28,00:29,00:30
OpenSwoole,78.61,89.73,92.55,92.74,82.5,96.04,82.92,92.63,91.15,78.6,82.44,94.48,89.62,94.27,82.3,97.26,89.25,91.83,84.29,88.42,82.5,90.01,91.42,86.51,90.99,94.12,88.89,93.34,95.14,95.98
Swoole,98.11,95.36,91.17,85.99,89.74,98.19,92.02,86.28,90.27,94.93,91.94,99.46,96.14,92.56,92.36,92.02,89.81,84.54,95.09,86.43,87.46,98.86,94.85,95.38,96.41,97.49,100.7,93.28,102.2,91.81
RoadRunner,227.2,186.3,223.3,236.6,179.1,233.8,250.8,211.5,233,238.2,228.1,246.9,206.5,230.8,216.7,205.1,242.4,203.5,229.5,256.1,206.1,236,193.6,223.1,240.7,195.8,238.1,207.9,222.2,242.5
FrankenPHP,58.53,57.17,58.65,58.73,58.48,59.07,58.12,58.4,57.73,59.66,58.3,59.01,58.18,59.11,58.22,57.23,58.7,58.95,58.04,59,58.36,57.59,58.01,59.14,58.79,59.02,58.34,57.56,59,55.46
